Epoch,Mean Loss,Mean Accuracy
0,0.0880084895758,0.0405121669431
1,0.0840946126562,0.0428428016732
2,0.0770178565105,0.0457140509439
3,0.0665334377528,0.0493807186305
4,0.0543689165767,0.0532684088991
5,0.0435667238021,0.0571539369009
6,0.0341455280575,0.0608758358188
7,0.0281828334587,0.0644015865755
8,0.0215664066142,0.0677149268995
9,0.0168819141842,0.0708731726379
10,0.0149775039675,0.0737215771395
11,0.0141291249943,0.0762538914037
12,0.0155745017951,0.0784314278913
13,0.0124755842566,0.0804130313306
14,0.0112530887127,0.08223658697
15,0.0115011920153,0.0838948537734
16,0.0100418417666,0.0854180515019
17,0.00932925679176,0.0868263180693
18,0.00883947744656,0.0881288657964
19,0.0084328580145,0.0893415759179
20,0.00816306814706,0.0904660730213
21,0.00769682147356,0.0915290224511
22,0.00738479247297,0.0925246180135
23,0.00710963126543,0.0934541646172
24,0.00785563077945,0.0943156293107
25,0.012161049038,0.0950954106852
26,0.0141786137099,0.0956884210085
27,0.00936883858125,0.0963065079752
28,0.00816945722617,0.0969520700019
29,0.00733871006481,0.0975875495627
30,0.00696826178361,0.0981970796536
31,0.00856290086073,0.0987606791064
32,0.00700593822246,0.0992967125454
33,0.0062225790675,0.0998258215333
34,0.0058388675476,0.100342634021
35,0.00564619707375,0.100840848622
36,0.00544401558574,0.101322656066
37,0.00521327263859,0.10178256633
38,0.00519402066703,0.102227950797
39,0.00497975360899,0.102656183771
40,0.00499705465633,0.103067073443
41,0.0046980019633,0.103466107565
42,0.0046496355397,0.103848590777
43,0.00458407702382,0.10422318452
44,0.00439007424308,0.104579660925
45,0.00431932439982,0.104927897247
46,0.00419898185505,0.105263669392
47,0.00401349029275,0.105591181034
48,0.0041286678192,0.105905397953
49,0.00408742593595,0.106207857082
50,0.00396991377393,0.106504884352
51,0.00372540104851,0.106790984172
52,0.00364356258542,0.107070328249
53,0.00369955137836,0.107343878301
54,0.003627468255,0.107607041882
55,0.00350304040736,0.107863721757
56,0.00341058455433,0.108113879151
57,0.00338350698855,0.108357074764
58,0.00333319601174,0.108592981492
59,0.0042982248583,0.108820629574
